cp_id,case_id,person_id,association,role,source
CPA-0001,CASE-001,PERSON-001,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0002,CASE-001,PERSON-002,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0003,CASE-001,PERSON-004,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0004,CASE-002,PERSON-001,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0005,CASE-002,PERSON-002,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0006,CASE-003,PERSON-003,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0007,CASE-003,PERSON-004,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0008,CASE-004,PERSON-006,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0009,CASE-004,PERSON-007,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0010,CASE-004,PERSON-008,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0011,CASE-005,PERSON-006,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0012,CASE-005,PERSON-009,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0013,CASE-006,PERSON-007,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0014,CASE-006,PERSON-008,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0015,CASE-006,PERSON-009,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0016,CASE-007,PERSON-011,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0017,CASE-007,PERSON-012,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0018,CASE-007,PERSON-013,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0019,CASE-008,PERSON-011,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0020,CASE-008,PERSON-013,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0021,CASE-009,PERSON-012,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0022,CASE-009,PERSON-015,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0023,CASE-010,PERSON-011,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0024,CASE-010,PERSON-012,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0025,CASE-011,PERSON-016,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0026,CASE-012,PERSON-016,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0027,CASE-012,PERSON-018,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0028,CASE-013,PERSON-016,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0029,CASE-014,PERSON-016,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0030,CASE-014,PERSON-018,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0031,CASE-015,PERSON-016,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0032,CASE-016,PERSON-016,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0033,CASE-016,PERSON-018,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0034,CASE-017,PERSON-016,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0035,CASE-018,PERSON-019,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0036,CASE-018,PERSON-021,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0037,CASE-019,PERSON-019,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0038,CASE-019,PERSON-020,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0039,CASE-020,PERSON-020,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0040,CASE-020,PERSON-021,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0041,CASE-021,PERSON-023,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0042,CASE-021,PERSON-024,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0043,CASE-021,PERSON-025,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0044,CASE-022,PERSON-023,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0045,CASE-022,PERSON-026,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0046,CASE-023,PERSON-025,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0047,CASE-023,PERSON-027,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0048,CASE-024,PERSON-028,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0049,CASE-024,PERSON-029,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0050,CASE-025,PERSON-029,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0051,CASE-026,PERSON-031,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0052,CASE-026,PERSON-001,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0053,CASE-027,PERSON-031,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0054,CASE-027,PERSON-011,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0055,CASE-028,PERSON-140,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0056,CASE-029,PERSON-116,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0057,CASE-030,PERSON-130,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0058,CASE-030,PERSON-098,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0059,CASE-030,PERSON-188,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0060,CASE-031,PERSON-169,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0061,CASE-033,PERSON-169,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0062,CASE-033,PERSON-018,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0063,CASE-033,PERSON-012,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0064,CASE-034,PERSON-147,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0065,CASE-035,PERSON-156,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0066,CASE-040,PERSON-143,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0067,CASE-042,PERSON-087,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0068,CASE-042,PERSON-169,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0069,CASE-042,PERSON-041,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0070,CASE-044,PERSON-097,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0071,CASE-046,PERSON-002,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0072,CASE-046,PERSON-077,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0073,CASE-048,PERSON-040,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0074,CASE-048,PERSON-036,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0075,CASE-051,PERSON-010,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0076,CASE-051,PERSON-188,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0077,CASE-052,PERSON-107,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0078,CASE-052,PERSON-031,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0079,CASE-053,PERSON-011,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0080,CASE-053,PERSON-082,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0081,CASE-053,PERSON-139,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0082,CASE-054,PERSON-188,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0083,CASE-054,PERSON-101,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0084,CASE-054,PERSON-115,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0085,CASE-055,PERSON-038,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0086,CASE-055,PERSON-034,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0087,CASE-056,PERSON-022,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0088,CASE-056,PERSON-103,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0089,CASE-057,PERSON-147,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0090,CASE-057,PERSON-051,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0091,CASE-057,PERSON-144,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0092,CASE-058,PERSON-083,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0093,CASE-058,PERSON-176,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0094,CASE-059,PERSON-089,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0095,CASE-059,PERSON-153,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0096,CASE-060,PERSON-012,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0097,CASE-060,PERSON-060,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0098,CASE-061,PERSON-063,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0099,CASE-062,PERSON-006,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0100,CASE-062,PERSON-085,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0101,CASE-063,PERSON-187,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0102,CASE-063,PERSON-037,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0103,CASE-063,PERSON-178,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0104,CASE-064,PERSON-073,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0105,CASE-068,PERSON-144,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0106,CASE-068,PERSON-183,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0107,CASE-069,PERSON-041,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0108,CASE-069,PERSON-005,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0109,CASE-069,PERSON-089,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0110,CASE-071,PERSON-101,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0111,CASE-071,PERSON-169,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0112,CASE-072,PERSON-040,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0113,CASE-072,PERSON-110,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0114,CASE-072,PERSON-080,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0115,CASE-074,PERSON-168,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0116,CASE-075,PERSON-187,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0117,CASE-076,PERSON-190,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0118,CASE-076,PERSON-071,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0119,CASE-076,PERSON-039,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0120,CASE-078,PERSON-176,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0121,CASE-080,PERSON-009,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0122,CASE-083,PERSON-156,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0123,CASE-084,PERSON-117,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0124,CASE-084,PERSON-011,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0125,CASE-085,PERSON-196,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0126,CASE-085,PERSON-162,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0127,CASE-085,PERSON-013,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0128,CASE-088,PERSON-179,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0129,CASE-088,PERSON-140,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0130,CASE-088,PERSON-035,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0131,CASE-089,PERSON-052,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0132,CASE-089,PERSON-117,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0133,CASE-089,PERSON-024,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0134,CASE-092,PERSON-086,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0135,CASE-093,PERSON-014,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0136,CASE-093,PERSON-108,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0137,CASE-093,PERSON-079,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0138,CASE-094,PERSON-052,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0139,CASE-096,PERSON-169,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0140,CASE-096,PERSON-122,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0141,CASE-096,PERSON-117,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0142,CASE-097,PERSON-072,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0143,CASE-097,PERSON-159,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0144,CASE-097,PERSON-161,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0145,CASE-098,PERSON-010,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0146,CASE-098,PERSON-038,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0147,CASE-100,PERSON-180,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0148,CASE-100,PERSON-153,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0149,CASE-100,PERSON-147,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0150,CASE-101,PERSON-083,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0151,CASE-101,PERSON-095,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0152,CASE-102,PERSON-032,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0153,CASE-103,PERSON-054,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0154,CASE-103,PERSON-157,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0155,CASE-103,PERSON-015,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0156,CASE-104,PERSON-067,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
