cp_id,case_id,person_id,role
ADV-CP-0001,CASE-0052,PERSON-0655,SUSPECT
ADV-CP-0002,CASE-0052,PERSON-0115,SUSPECT
ADV-CP-0003,CASE-1117,PERSON-0105,SUSPECT
ADV-CP-0004,CASE-1117,PERSON-0693,SUSPECT
ADV-CP-0005,CASE-1035,PERSON-0224,SUSPECT
ADV-CP-0006,CASE-1035,PERSON-0239,SUSPECT
ADV-CP-0007,CASE-0860,PERSON-0719,SUSPECT
ADV-CP-0008,CASE-0860,PERSON-0559,SUSPECT
ADV-CP-0009,CASE-0327,PERSON-0007,SUSPECT
ADV-CP-0010,CASE-0327,PERSON-0778,SUSPECT
ADV-CP-0011,CASE-0690,PERSON-0981,SUSPECT
ADV-CP-0012,CASE-0690,PERSON-0782,SUSPECT
ADV-CP-0013,CASE-0542,PERSON-0353,SUSPECT
ADV-CP-0014,CASE-0542,PERSON-0619,SUSPECT
ADV-CP-0015,CASE-0776,PERSON-0997,SUSPECT
ADV-CP-0016,CASE-0776,PERSON-0945,SUSPECT
ADV-CP-0017,CASE-0094,PERSON-0722,SUSPECT
ADV-CP-0018,CASE-0094,PERSON-0072,SUSPECT
ADV-CP-0019,CASE-0207,PERSON-0876,SUSPECT
ADV-CP-0020,CASE-0207,PERSON-0239,SUSPECT
ADV-CP-0021,CASE-0547,PERSON-0364,SUSPECT
ADV-CP-0022,CASE-0547,PERSON-0215,SUSPECT
ADV-CP-0023,CASE-0351,PERSON-0624,SUSPECT
ADV-CP-0024,CASE-0351,PERSON-0651,SUSPECT
ADV-CP-0025,CASE-1141,PERSON-0389,SUSPECT
ADV-CP-0026,CASE-1141,PERSON-0277,SUSPECT
ADV-CP-0027,CASE-0647,PERSON-0033,SUSPECT
ADV-CP-0028,CASE-0647,PERSON-0825,SUSPECT
ADV-CP-0029,CASE-0645,PERSON-0581,SUSPECT
ADV-CP-0030,CASE-0645,PERSON-0898,SUSPECT
ADV-CP-0031,CASE-0293,PERSON-0659,SUSPECT
ADV-CP-0032,CASE-0293,PERSON-0470,SUSPECT
ADV-CP-0033,CASE-1196,PERSON-0599,SUSPECT
ADV-CP-0034,CASE-1196,PERSON-0439,SUSPECT
ADV-CP-0035,CASE-0097,PERSON-0094,SUSPECT
ADV-CP-0036,CASE-0097,PERSON-0774,SUSPECT
ADV-CP-0037,CASE-0131,PERSON-0433,SUSPECT
ADV-CP-0038,CASE-0131,PERSON-0611,SUSPECT
ADV-CP-0039,CASE-0024,PERSON-0995,SUSPECT
ADV-CP-0040,CASE-0024,PERSON-0567,SUSPECT
ADV-CP-0041,CASE-0547,PERSON-0550,SUSPECT
ADV-CP-0042,CASE-0547,PERSON-0769,SUSPECT
ADV-CP-0043,CASE-0007,PERSON-0162,SUSPECT
