comm_id,case_id,description,duration
ADV-COMM-0001,CASE-0052,PERSON-0655 contacted PERSON-0115 regarding operational logistics.,239
ADV-COMM-0002,CASE-0052,PERSON-0115 contacted PERSON-0655 confirming pickup.,97
ADV-COMM-0003,CASE-1117,PERSON-0105 contacted PERSON-0693 regarding operational logistics.,72
ADV-COMM-0004,CASE-1117,PERSON-0693 contacted PERSON-0105 confirming pickup.,48
ADV-COMM-0005,CASE-1035,PERSON-0224 contacted PERSON-0239 regarding operational logistics.,204
ADV-COMM-0006,CASE-1035,PERSON-0239 contacted PERSON-0224 confirming pickup.,90
ADV-COMM-0007,CASE-0860,PERSON-0719 contacted PERSON-0559 regarding operational logistics.,106
ADV-COMM-0008,CASE-0860,PERSON-0559 contacted PERSON-0719 confirming pickup.,111
ADV-COMM-0009,CASE-0327,PERSON-0007 contacted PERSON-0778 regarding operational logistics.,228
ADV-COMM-0010,CASE-0327,PERSON-0778 contacted PERSON-0007 confirming pickup.,111
ADV-COMM-0011,CASE-0690,PERSON-0981 contacted PERSON-0782 regarding operational logistics.,76
ADV-COMM-0012,CASE-0690,PERSON-0782 contacted PERSON-0981 confirming pickup.,64
ADV-COMM-0013,CASE-0542,PERSON-0353 contacted PERSON-0619 regarding operational logistics.,256
ADV-COMM-0014,CASE-0542,PERSON-0619 contacted PERSON-0353 confirming pickup.,157
ADV-COMM-0015,CASE-0776,PERSON-0997 contacted PERSON-0945 regarding operational logistics.,70
ADV-COMM-0016,CASE-0776,PERSON-0945 contacted PERSON-0997 confirming pickup.,132
ADV-COMM-0017,CASE-0094,PERSON-0722 contacted PERSON-0072 regarding operational logistics.,219
ADV-COMM-0018,CASE-0094,PERSON-0072 contacted PERSON-0722 confirming pickup.,114
ADV-COMM-0019,CASE-0207,PERSON-0876 contacted PERSON-0239 regarding operational logistics.,147
ADV-COMM-0020,CASE-0207,PERSON-0239 contacted PERSON-0876 confirming pickup.,133
ADV-COMM-0021,CASE-0547,PERSON-0364 contacted PERSON-0215 regarding operational logistics.,229
ADV-COMM-0022,CASE-0351,PERSON-0624 contacted PERSON-0651 regarding operational logistics.,186
ADV-COMM-0023,CASE-1141,PERSON-0389 contacted PERSON-0277 regarding operational logistics.,106
ADV-COMM-0024,CASE-1141,PERSON-0277 contacted PERSON-0389 confirming pickup.,54
ADV-COMM-0025,CASE-0647,PERSON-0033 contacted PERSON-0825 regarding operational logistics.,152
ADV-COMM-0026,CASE-0647,PERSON-0825 contacted PERSON-0033 confirming pickup.,94
ADV-COMM-0027,CASE-0645,PERSON-0581 contacted PERSON-0898 regarding operational logistics.,104
ADV-COMM-0028,CASE-0645,PERSON-0898 contacted PERSON-0581 confirming pickup.,141
ADV-COMM-0029,CASE-0293,PERSON-0659 contacted PERSON-0470 regarding operational logistics.,117
ADV-COMM-0030,CASE-0293,PERSON-0470 contacted PERSON-0659 confirming pickup.,177
ADV-COMM-0031,CASE-1196,PERSON-0599 contacted PERSON-0439 regarding operational logistics.,152
ADV-COMM-0032,CASE-1196,PERSON-0439 contacted PERSON-0599 confirming pickup.,75
ADV-COMM-0033,CASE-0097,PERSON-0094 contacted PERSON-0774 regarding operational logistics.,270
ADV-COMM-0034,CASE-0097,PERSON-0774 contacted PERSON-0094 confirming pickup.,80
ADV-COMM-0035,CASE-0131,PERSON-0433 contacted PERSON-0611 regarding operational logistics.,148
ADV-COMM-0036,CASE-0131,PERSON-0611 contacted PERSON-0433 confirming pickup.,159
ADV-COMM-0037,CASE-0024,PERSON-0995 contacted PERSON-0567 regarding operational logistics.,224
ADV-COMM-0038,CASE-0547,PERSON-0550 contacted PERSON-0769 regarding operational logistics.,246
ADV-COMM-0039,CASE-0547,PERSON-0769 contacted PERSON-0550 confirming pickup.,68
ADV-COMM-0040,CASE-0007,PERSON-0162 contacted PERSON-0465 regarding operational logistics.,294
ADV-COMM-0041,CASE-0366,PERSON-0996 contacted PERSON-0513 regarding operational logistics.,179
ADV-COMM-0042,CASE-1040,PERSON-0306 contacted PERSON-0862 regarding operational logistics.,205
ADV-COMM-0043,CASE-1040,PERSON-0862 contacted PERSON-0306 confirming pickup.,135
ADV-COMM-0044,CASE-1087,PERSON-0553 contacted PERSON-0977 regarding operational logistics.,285
ADV-COMM-0045,CASE-1087,PERSON-0977 contacted PERSON-0553 confirming pickup.,122
ADV-COMM-0046,CASE-0744,PERSON-0115 contacted PERSON-0952 regarding operational logistics.,274
ADV-COMM-0047,CASE-0494,PERSON-0246 contacted PERSON-0060 regarding operational logistics.,274
ADV-COMM-0048,CASE-0494,PERSON-0060 contacted PERSON-0246 confirming pickup.,60
ADV-COMM-0049,CASE-0142,PERSON-0498 contacted PERSON-0836 regarding operational logistics.,300
ADV-COMM-0050,CASE-0974,PERSON-0132 contacted PERSON-0676 regarding operational logistics.,292
ADV-COMM-0051,CASE-0974,PERSON-0676 contacted PERSON-0132 confirming pickup.,107
ADV-COMM-0052,CASE-0434,PERSON-0622 contacted PERSON-0434 regarding operational logistics.,287
ADV-COMM-0053,CASE-0434,PERSON-0434 contacted PERSON-0622 confirming pickup.,91
ADV-COMM-0054,CASE-0765,PERSON-0409 contacted PERSON-0688 regarding operational logistics.,162
ADV-COMM-0055,CASE-0132,PERSON-0254 contacted PERSON-0231 regarding operational logistics.,136
ADV-COMM-0056,CASE-0132,PERSON-0231 contacted PERSON-0254 confirming pickup.,98
ADV-COMM-0057,CASE-0121,PERSON-0008 contacted PERSON-0073 regarding operational logistics.,108
ADV-COMM-0058,CASE-0121,PERSON-0073 contacted PERSON-0008 confirming pickup.,48
ADV-COMM-0059,CASE-0488,PERSON-0073 contacted PERSON-0527 regarding operational logistics.,121
ADV-COMM-0060,CASE-0488,PERSON-0527 contacted PERSON-0073 confirming pickup.,94
ADV-COMM-0061,CASE-1170,PERSON-0741 contacted PERSON-0958 regarding operational logistics.,197
ADV-COMM-0062,CASE-1170,PERSON-0958 contacted PERSON-0741 confirming pickup.,161
ADV-COMM-0063,CASE-0199,PERSON-0195 contacted PERSON-0097 regarding operational logistics.,218
ADV-COMM-0064,CASE-0199,PERSON-0097 contacted PERSON-0195 confirming pickup.,148
ADV-COMM-0065,CASE-0111,PERSON-0885 contacted PERSON-0747 regarding operational logistics.,222
ADV-COMM-0066,CASE-0111,PERSON-0747 contacted PERSON-0885 confirming pickup.,65
ADV-COMM-0067,CASE-0224,PERSON-0746 contacted PERSON-0348 regarding operational logistics.,113
ADV-COMM-0068,CASE-0224,PERSON-0348 contacted PERSON-0746 confirming pickup.,177
ADV-COMM-0069,CASE-0571,PERSON-0433 contacted PERSON-0188 regarding operational logistics.,168
ADV-COMM-0070,CASE-0571,PERSON-0188 contacted PERSON-0433 confirming pickup.,59
ADV-COMM-0071,CASE-1128,PERSON-0883 contacted PERSON-0877 regarding operational logistics.,75
ADV-COMM-0072,CASE-1128,PERSON-0877 contacted PERSON-0883 confirming pickup.,178
ADV-COMM-0073,CASE-0485,PERSON-0993 contacted PERSON-0096 regarding operational logistics.,92
ADV-COMM-0074,CASE-0485,PERSON-0096 contacted PERSON-0993 confirming pickup.,163
ADV-COMM-0075,CASE-0121,PERSON-0411 contacted PERSON-0925 regarding operational logistics.,92
ADV-COMM-0076,CASE-0121,PERSON-0925 contacted PERSON-0411 confirming pickup.,139
ADV-COMM-0077,CASE-0932,PERSON-0803 contacted PERSON-0804 regarding operational logistics.,123
ADV-COMM-0078,CASE-0932,PERSON-0804 contacted PERSON-0803 confirming pickup.,164
ADV-COMM-0079,CASE-0120,PERSON-0304 contacted PERSON-0223 regarding operational logistics.,198
ADV-COMM-0080,CASE-0103,PERSON-0322 contacted PERSON-0059 regarding operational logistics.,199
ADV-COMM-0081,CASE-0103,PERSON-0059 contacted PERSON-0322 confirming pickup.,175
ADV-COMM-0082,CASE-0165,PERSON-0984 contacted PERSON-0521 regarding operational logistics.,267
ADV-COMM-0083,CASE-0165,PERSON-0521 contacted PERSON-0984 confirming pickup.,57
ADV-COMM-0084,CASE-0246,PERSON-0241 contacted PERSON-0414 regarding operational logistics.,291
ADV-COMM-0085,CASE-0168,PERSON-0609 contacted PERSON-0041 regarding operational logistics.,157
ADV-COMM-0086,CASE-0168,PERSON-0041 contacted PERSON-0609 confirming pickup.,173
ADV-COMM-0087,CASE-0644,PERSON-0268 contacted PERSON-0210 regarding operational logistics.,111
ADV-COMM-0088,CASE-0644,PERSON-0210 contacted PERSON-0268 confirming pickup.,73
ADV-COMM-0089,CASE-0648,PERSON-0308 contacted PERSON-0469 regarding operational logistics.,287
ADV-COMM-0090,CASE-1154,PERSON-0470 contacted PERSON-0637 regarding operational logistics.,75
ADV-COMM-0091,CASE-1154,PERSON-0637 contacted PERSON-0470 confirming pickup.,94
ADV-COMM-0092,CASE-0715,PERSON-0136 contacted PERSON-0956 regarding operational logistics.,275
ADV-COMM-0093,CASE-0715,PERSON-0956 contacted PERSON-0136 confirming pickup.,102
