pair_id,source_entity_id,target_entity_id,relationship_type,case_id,evidence_reference,expected_relationship,scenario,split
ADV-PAIR-0001,PERSON-0655,PERSON-0115,CONTACTED,CASE-0052,PERSON-0655 coordinated with PERSON-0115 under CASE-0052.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0002,PERSON-0105,PERSON-0693,CONTACTED,CASE-1117,PERSON-0105 coordinated with PERSON-0693 under CASE-1117.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0003,PERSON-0224,PERSON-0239,CONTACTED,CASE-1035,PERSON-0224 coordinated with PERSON-0239 under CASE-1035.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0004,PERSON-0719,PERSON-0559,CONTACTED,CASE-0860,PERSON-0719 coordinated with PERSON-0559 under CASE-0860.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0005,PERSON-0007,PERSON-0778,CONTACTED,CASE-0327,PERSON-0007 coordinated with PERSON-0778 under CASE-0327.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0006,PERSON-0981,PERSON-0782,CONTACTED,CASE-0690,PERSON-0981 coordinated with PERSON-0782 under CASE-0690.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0007,PERSON-0353,PERSON-0619,CONTACTED,CASE-0542,PERSON-0353 coordinated with PERSON-0619 under CASE-0542.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0008,PERSON-0997,PERSON-0945,CONTACTED,CASE-0776,PERSON-0997 coordinated with PERSON-0945 under CASE-0776.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0009,PERSON-0722,PERSON-0072,CONTACTED,CASE-0094,PERSON-0722 coordinated with PERSON-0072 under CASE-0094.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0010,PERSON-0876,PERSON-0239,CONTACTED,CASE-0207,PERSON-0876 coordinated with PERSON-0239 under CASE-0207.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0011,PERSON-0364,PERSON-0215,CONTACTED,CASE-0547,PERSON-0364 coordinated with PERSON-0215 under CASE-0547.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0012,PERSON-0624,PERSON-0651,CONTACTED,CASE-0351,PERSON-0624 coordinated with PERSON-0651 under CASE-0351.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0013,PERSON-0389,PERSON-0277,CONTACTED,CASE-1141,PERSON-0389 coordinated with PERSON-0277 under CASE-1141.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0014,PERSON-0033,PERSON-0825,CONTACTED,CASE-0647,PERSON-0033 coordinated with PERSON-0825 under CASE-0647.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0015,PERSON-0581,PERSON-0898,CONTACTED,CASE-0645,PERSON-0581 coordinated with PERSON-0898 under CASE-0645.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0016,PERSON-0659,PERSON-0470,CONTACTED,CASE-0293,PERSON-0659 coordinated with PERSON-0470 under CASE-0293.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0017,PERSON-0599,PERSON-0439,CONTACTED,CASE-1196,PERSON-0599 coordinated with PERSON-0439 under CASE-1196.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0018,PERSON-0094,PERSON-0774,CONTACTED,CASE-0097,PERSON-0094 coordinated with PERSON-0774 under CASE-0097.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0019,PERSON-0433,PERSON-0611,CONTACTED,CASE-0131,PERSON-0433 coordinated with PERSON-0611 under CASE-0131.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0020,PERSON-0995,PERSON-0567,CONTACTED,CASE-0024,PERSON-0995 coordinated with PERSON-0567 under CASE-0024.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0021,PERSON-0550,PERSON-0769,CONTACTED,CASE-0547,PERSON-0550 coordinated with PERSON-0769 under CASE-0547.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0022,PERSON-0162,PERSON-0465,CONTACTED,CASE-0007,PERSON-0162 coordinated with PERSON-0465 under CASE-0007.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0023,PERSON-0996,PERSON-0513,CONTACTED,CASE-0366,PERSON-0996 coordinated with PERSON-0513 under CASE-0366.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0024,PERSON-0306,PERSON-0862,CONTACTED,CASE-1040,PERSON-0306 coordinated with PERSON-0862 under CASE-1040.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0025,PERSON-0553,PERSON-0977,CONTACTED,CASE-1087,PERSON-0553 coordinated with PERSON-0977 under CASE-1087.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0026,PERSON-0115,PERSON-0952,CONTACTED,CASE-0744,PERSON-0115 coordinated with PERSON-0952 under CASE-0744.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0027,PERSON-0246,PERSON-0060,CONTACTED,CASE-0494,PERSON-0246 coordinated with PERSON-0060 under CASE-0494.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0028,PERSON-0498,PERSON-0836,CONTACTED,CASE-0142,PERSON-0498 coordinated with PERSON-0836 under CASE-0142.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0029,PERSON-0132,PERSON-0676,CONTACTED,CASE-0974,PERSON-0132 coordinated with PERSON-0676 under CASE-0974.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0030,PERSON-0622,PERSON-0434,CONTACTED,CASE-0434,PERSON-0622 coordinated with PERSON-0434 under CASE-0434.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0031,PERSON-0409,PERSON-0688,CONTACTED,CASE-0765,PERSON-0409 coordinated with PERSON-0688 under CASE-0765.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0032,PERSON-0254,PERSON-0231,CONTACTED,CASE-0132,PERSON-0254 coordinated with PERSON-0231 under CASE-0132.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0033,PERSON-0008,PERSON-0073,CONTACTED,CASE-0121,PERSON-0008 coordinated with PERSON-0073 under CASE-0121.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0034,PERSON-0073,PERSON-0527,CONTACTED,CASE-0488,PERSON-0073 coordinated with PERSON-0527 under CASE-0488.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0035,PERSON-0741,PERSON-0958,CONTACTED,CASE-1170,PERSON-0741 coordinated with PERSON-0958 under CASE-1170.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0036,PERSON-0195,PERSON-0097,CONTACTED,CASE-0199,PERSON-0195 coordinated with PERSON-0097 under CASE-0199.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0037,PERSON-0885,PERSON-0747,CONTACTED,CASE-0111,PERSON-0885 coordinated with PERSON-0747 under CASE-0111.,1,POS_STANDARD_MULTI_CHANNEL,TEST
ADV-PAIR-0038,PERSON-0746,PERSON-0348,CONTACTED,CASE-0224,PERSON-0746 coordinated with PERSON-0348 under CASE-0224.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0039,PERSON-0433,PERSON-0188,CONTACTED,CASE-0571,PERSON-0433 coordinated with PERSON-0188 under CASE-0571.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0040,PERSON-0883,PERSON-0877,CONTACTED,CASE-1128,PERSON-0883 coordinated with PERSON-0877 under CASE-1128.,1,POS_STANDARD_MULTI_CHANNEL,TEST
ADV-PAIR-0041,PERSON-0993,PERSON-0096,CONTACTED,CASE-0485,PERSON-0993 coordinated with PERSON-0096 under CASE-0485.,1,POS_STANDARD_MULTI_CHANNEL,TEST
ADV-PAIR-0042,PERSON-0411,PERSON-0925,CONTACTED,CASE-0121,PERSON-0411 coordinated with PERSON-0925 under CASE-0121.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0043,PERSON-0803,PERSON-0804,CONTACTED,CASE-0932,PERSON-0803 coordinated with PERSON-0804 under CASE-0932.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0044,PERSON-0304,PERSON-0223,CONTACTED,CASE-0120,PERSON-0304 coordinated with PERSON-0223 under CASE-0120.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0045,PERSON-0322,PERSON-0059,CONTACTED,CASE-0103,PERSON-0322 coordinated with PERSON-0059 under CASE-0103.,1,POS_STANDARD_MULTI_CHANNEL,TEST
ADV-PAIR-0046,PERSON-0984,PERSON-0521,CONTACTED,CASE-0165,PERSON-0984 coordinated with PERSON-0521 under CASE-0165.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0047,PERSON-0241,PERSON-0414,CONTACTED,CASE-0246,PERSON-0241 coordinated with PERSON-0414 under CASE-0246.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0048,PERSON-0609,PERSON-0041,CONTACTED,CASE-0168,PERSON-0609 coordinated with PERSON-0041 under CASE-0168.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0049,PERSON-0268,PERSON-0210,CONTACTED,CASE-0644,PERSON-0268 coordinated with PERSON-0210 under CASE-0644.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0050,PERSON-0308,PERSON-0469,CONTACTED,CASE-0648,PERSON-0308 coordinated with PERSON-0469 under CASE-0648.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0051,PERSON-0470,PERSON-0637,CONTACTED,CASE-1154,PERSON-0470 coordinated with PERSON-0637 under CASE-1154.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0052,PERSON-0136,PERSON-0956,CONTACTED,CASE-0715,PERSON-0136 coordinated with PERSON-0956 under CASE-0715.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0053,PERSON-0162,PERSON-0449,CONTACTED,CASE-1113,PERSON-0162 coordinated with PERSON-0449 under CASE-1113.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0054,PERSON-0837,PERSON-0568,CONTACTED,CASE-0614,PERSON-0837 coordinated with PERSON-0568 under CASE-0614.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
