entity_a,entity_b,ground_truth,category,string_similarity,embedding_similarity,attribute_similarity,final_score,decision
Reena Agarwal,Reena Guddu,1,ALIAS_MUTATION,0.5833,0.6657,0.5,0.5996,NO_MATCH
Rajesh Singhal,Rajesh Sin.,1,ALIAS_MUTATION,0.8333,0.7329,0.5,0.7265,POSSIBLE_MATCH
Kunal Chakraborty,Kunal Cha.,1,ALIAS_MUTATION,0.6923,0.7812,0.5,0.6894,POSSIBLE_MATCH
Pankaj Goyal,Pankaj Goy.,1,ALIAS_MUTATION,0.9091,0.8518,0.5,0.8044,POSSIBLE_MATCH
Sarita Ahmed,Sarita Ahm.,1,ALIAS_MUTATION,0.9091,0.6775,0.5,0.7346,POSSIBLE_MATCH
Sachin Kumar,Sachin Kum.,1,ALIAS_MUTATION,0.9091,0.7589,0.5,0.7672,POSSIBLE_MATCH
Shashi Pandey,Shasha Pandey,1,ALIAS_MUTATION,0.9231,0.8104,0.5,0.7934,POSSIBLE_MATCH
Jitendra Qureshi,Jitendra Qur.,1,ALIAS_MUTATION,0.8571,0.8217,0.5,0.7716,POSSIBLE_MATCH
Santosh Ahmed,Santosa Ahmed,1,ALIAS_MUTATION,0.9231,0.8925,0.5,0.8262,POSSIBLE_MATCH
Radha Hussain,Radha Bhai,1,ALIAS_MUTATION,0.7826,0.8393,0.5,0.7488,POSSIBLE_MATCH
Vijay Siddiqui,Vijay Sid.,1,ALIAS_MUTATION,0.7826,0.8939,0.5,0.7706,POSSIBLE_MATCH
Manish Mehta,Manish Chhota,1,ALIAS_MUTATION,0.8,0.6495,0.5,0.6798,POSSIBLE_MATCH
Jitendra Patel,Jitendra Chhota,1,ALIAS_MUTATION,0.6897,0.5073,0.5,0.5788,NO_MATCH
Vivek Shukla,Vivea Shukla,1,ALIAS_MUTATION,0.9167,0.908,0.5,0.8299,POSSIBLE_MATCH
Vivek Goyal,Vivek Chhota,1,ALIAS_MUTATION,0.6957,0.5777,0.5,0.6093,NO_MATCH
Rakesh Sen,Rakesh Sonu,1,ALIAS_MUTATION,0.8571,0.7112,0.5,0.7273,POSSIBLE_MATCH
Ajay Bhattacharya,Ajay Guddu,1,ALIAS_MUTATION,0.3704,0.5077,0.5,0.4512,NO_MATCH
