cp_id,case_id,person_id,role
ROB-CP-0001,CASE-0052,PERSON-0655,SUSPECT
ROB-CP-0002,CASE-0052,PERSON-0115,SUSPECT
ROB-CP-0003,CASE-1210,PERSON-0559,SUSPECT
ROB-CP-0004,CASE-1210,PERSON-0090,SUSPECT
ROB-CP-0005,CASE-1117,PERSON-0204,SUSPECT
ROB-CP-0006,CASE-1117,PERSON-0734,SUSPECT
ROB-CP-0007,CASE-0866,PERSON-0164,SUSPECT
ROB-CP-0008,CASE-0866,PERSON-0715,SUSPECT
ROB-CP-0009,CASE-0199,PERSON-0095,SUSPECT
ROB-CP-0010,CASE-0199,PERSON-0390,SUSPECT
ROB-CP-0011,CASE-1099,PERSON-0748,SUSPECT
ROB-CP-0012,CASE-1099,PERSON-0471,SUSPECT
ROB-CP-0013,CASE-0741,PERSON-0634,SUSPECT
ROB-CP-0014,CASE-0741,PERSON-0907,SUSPECT
ROB-CP-0015,CASE-0477,PERSON-0082,SUSPECT
ROB-CP-0016,CASE-0477,PERSON-0876,SUSPECT
ROB-CP-0017,CASE-0547,PERSON-0364,SUSPECT
ROB-CP-0018,CASE-0547,PERSON-0215,SUSPECT
ROB-CP-0019,CASE-0502,PERSON-0176,SUSPECT
ROB-CP-0020,CASE-0502,PERSON-0547,SUSPECT
ROB-CP-0021,CASE-0665,PERSON-0571,SUSPECT
ROB-CP-0022,CASE-0665,PERSON-0225,SUSPECT
ROB-CP-0023,CASE-0136,PERSON-0411,SUSPECT
ROB-CP-0024,CASE-0136,PERSON-0275,SUSPECT
ROB-CP-0025,CASE-1023,PERSON-0218,SUSPECT
ROB-CP-0026,CASE-1023,PERSON-0672,SUSPECT
ROB-CP-0027,CASE-1150,PERSON-0143,SUSPECT
ROB-CP-0028,CASE-1150,PERSON-0253,SUSPECT
ROB-CP-0029,CASE-1011,PERSON-0142,SUSPECT
ROB-CP-0030,CASE-1011,PERSON-0522,SUSPECT
ROB-CP-0031,CASE-0865,PERSON-0164,SUSPECT
ROB-CP-0032,CASE-0865,PERSON-0812,SUSPECT
ROB-CP-0033,CASE-1134,PERSON-0258,SUSPECT
ROB-CP-0034,CASE-1134,PERSON-0995,SUSPECT
ROB-CP-0035,CASE-0547,PERSON-0907,SUSPECT
ROB-CP-0036,CASE-0547,PERSON-0550,SUSPECT
ROB-CP-0037,CASE-0540,PERSON-0977,SUSPECT
ROB-CP-0038,CASE-0540,PERSON-0740,SUSPECT
ROB-CP-0039,CASE-1040,PERSON-0641,SUSPECT
ROB-CP-0040,CASE-1040,PERSON-0306,SUSPECT
ROB-CP-0041,CASE-1087,PERSON-0798,SUSPECT
ROB-CP-0042,CASE-1087,PERSON-0945,SUSPECT
ROB-CP-0043,CASE-0630,PERSON-0852,SUSPECT
ROB-CP-0044,CASE-0630,PERSON-0827,SUSPECT
ROB-CP-0045,CASE-0142,PERSON-0498,SUSPECT
ROB-CP-0046,CASE-0142,PERSON-0836,SUSPECT
ROB-CP-0047,CASE-1243,PERSON-0272,SUSPECT
ROB-CP-0048,CASE-1243,PERSON-0541,SUSPECT
ROB-CP-0049,CASE-0639,PERSON-0707,SUSPECT
ROB-CP-0050,CASE-0639,PERSON-0206,SUSPECT
ROB-CP-0051,CASE-0248,PERSON-0530,SUSPECT
ROB-CP-0052,CASE-0248,PERSON-0463,SUSPECT
ROB-CP-0053,CASE-0121,PERSON-0008,SUSPECT
ROB-CP-0054,CASE-0121,PERSON-0073,SUSPECT
ROB-CP-0055,CASE-0995,PERSON-0244,SUSPECT
ROB-CP-0056,CASE-0995,PERSON-0286,SUSPECT
ROB-CP-0057,CASE-0834,PERSON-0485,SUSPECT
ROB-CP-0058,CASE-0834,PERSON-0827,SUSPECT
ROB-CP-0059,CASE-0202,PERSON-0056,SUSPECT
ROB-CP-0060,CASE-0202,PERSON-0690,SUSPECT
ROB-CP-0061,CASE-1099,PERSON-0197,SUSPECT
ROB-CP-0062,CASE-1099,PERSON-0195,SUSPECT
ROB-CP-0063,CASE-1128,PERSON-0454,SUSPECT
ROB-CP-0064,CASE-1128,PERSON-0828,SUSPECT
ROB-CP-0065,CASE-0485,PERSON-0949,SUSPECT
ROB-CP-0066,CASE-0485,PERSON-0772,SUSPECT
ROB-CP-0067,CASE-0800,PERSON-0389,SUSPECT
ROB-CP-0068,CASE-0800,PERSON-0003,SUSPECT
ROB-CP-0069,CASE-1139,PERSON-0714,SUSPECT
ROB-CP-0070,CASE-1139,PERSON-0981,SUSPECT
ROB-CP-0071,CASE-1111,PERSON-0594,SUSPECT
ROB-CP-0072,CASE-1111,PERSON-0754,SUSPECT
ROB-CP-0073,CASE-0323,PERSON-0874,SUSPECT
ROB-CP-0074,CASE-0323,PERSON-0544,SUSPECT
ROB-CP-0075,CASE-0482,PERSON-0692,SUSPECT
ROB-CP-0076,CASE-0482,PERSON-0883,SUSPECT
ROB-CP-0077,CASE-1196,PERSON-0430,SUSPECT
ROB-CP-0078,CASE-1196,PERSON-0674,SUSPECT
ROB-CP-0079,CASE-0615,PERSON-0406,SUSPECT
ROB-CP-0080,CASE-0615,PERSON-0135,SUSPECT
ROB-CP-0081,CASE-1102,PERSON-0103,SUSPECT
ROB-CP-0082,CASE-1102,PERSON-0076,SUSPECT
ROB-CP-0083,CASE-0757,PERSON-0901,SUSPECT
ROB-CP-0084,CASE-0757,PERSON-0251,SUSPECT
ROB-CP-0085,CASE-1084,PERSON-0827,SUSPECT
ROB-CP-0086,CASE-1084,PERSON-0670,SUSPECT
ROB-CP-0087,CASE-0276,PERSON-0107,SUSPECT
ROB-CP-0088,CASE-0276,PERSON-0962,SUSPECT
ROB-CP-0089,CASE-0432,PERSON-0289,SUSPECT
ROB-CP-0090,CASE-0432,PERSON-0620,SUSPECT
ROB-CP-0091,CASE-0105,PERSON-0930,SUSPECT
ROB-CP-0092,CASE-0105,PERSON-0867,SUSPECT
ROB-CP-0093,CASE-0268,PERSON-0342,SUSPECT
ROB-CP-0094,CASE-0268,PERSON-0790,SUSPECT
ROB-CP-0095,CASE-0230,PERSON-0575,SUSPECT
ROB-CP-0096,CASE-0230,PERSON-0010,SUSPECT
ROB-CP-0097,CASE-0757,PERSON-0037,SUSPECT
ROB-CP-0098,CASE-0757,PERSON-0855,SUSPECT
ROB-CP-0099,CASE-0082,PERSON-0816,SUSPECT
ROB-CP-0100,CASE-0082,PERSON-0996,SUSPECT
ROB-CP-0101,CASE-0833,PERSON-0574,SUSPECT
ROB-CP-0102,CASE-0833,PERSON-0906,SUSPECT
ROB-CP-0103,CASE-0363,PERSON-0167,SUSPECT
ROB-CP-0104,CASE-0363,PERSON-1000,SUSPECT
ROB-CP-0105,CASE-0509,PERSON-0954,SUSPECT
ROB-CP-0106,CASE-0509,PERSON-0422,SUSPECT
ROB-CP-0107,CASE-0943,PERSON-0205,SUSPECT
ROB-CP-0108,CASE-0943,PERSON-0837,SUSPECT
ROB-CP-0109,CASE-0143,PERSON-0286,SUSPECT
ROB-CP-0110,CASE-0143,PERSON-0886,SUSPECT
ROB-CP-0111,CASE-0237,PERSON-0962,SUSPECT
ROB-CP-0112,CASE-0237,PERSON-0029,SUSPECT
ROB-CP-0113,CASE-0890,PERSON-0112,SUSPECT
ROB-CP-0114,CASE-0890,PERSON-0611,SUSPECT
ROB-CP-0115,CASE-1181,PERSON-0395,SUSPECT
ROB-CP-0116,CASE-1181,PERSON-0922,SUSPECT
ROB-CP-0117,CASE-0404,PERSON-0737,SUSPECT
ROB-CP-0118,CASE-0404,PERSON-0963,SUSPECT
ROB-CP-0119,CASE-0616,PERSON-0128,SUSPECT
ROB-CP-0120,CASE-0616,PERSON-0738,SUSPECT
ROB-CP-0121,CASE-0777,PERSON-0197,SUSPECT
ROB-CP-0122,CASE-0777,PERSON-0431,SUSPECT
ROB-CP-0123,CASE-0623,PERSON-0854,SUSPECT
ROB-CP-0124,CASE-0623,PERSON-0001,SUSPECT
ROB-CP-0125,CASE-0438,PERSON-0453,SUSPECT
ROB-CP-0126,CASE-0438,PERSON-0692,SUSPECT
ROB-CP-0127,CASE-0687,PERSON-0680,SUSPECT
ROB-CP-0128,CASE-0687,PERSON-0649,SUSPECT
ROB-CP-0129,CASE-0408,PERSON-0231,SUSPECT
ROB-CP-0130,CASE-0408,PERSON-0826,SUSPECT
ROB-CP-0131,CASE-0933,PERSON-0787,SUSPECT
ROB-CP-0132,CASE-0933,PERSON-0075,SUSPECT
ROB-CP-0133,CASE-0819,PERSON-0394,SUSPECT
ROB-CP-0134,CASE-0819,PERSON-0507,SUSPECT
ROB-CP-0135,CASE-0871,PERSON-0907,SUSPECT
ROB-CP-0136,CASE-0871,PERSON-0110,SUSPECT
ROB-CP-0137,CASE-0274,PERSON-0125,SUSPECT
ROB-CP-0138,CASE-0274,PERSON-0468,SUSPECT
ROB-CP-0139,CASE-0907,PERSON-0973,SUSPECT
ROB-CP-0140,CASE-0907,PERSON-0774,SUSPECT
ROB-CP-0141,CASE-0914,PERSON-0929,SUSPECT
ROB-CP-0142,CASE-0914,PERSON-0562,SUSPECT
ROB-CP-0143,CASE-1068,PERSON-0284,SUSPECT
ROB-CP-0144,CASE-1068,PERSON-0785,SUSPECT
ROB-CP-0145,CASE-0655,PERSON-0279,SUSPECT
ROB-CP-0146,CASE-0655,PERSON-0344,SUSPECT
ROB-CP-0147,CASE-0850,PERSON-0220,SUSPECT
ROB-CP-0148,CASE-0850,PERSON-0066,SUSPECT
ROB-CP-0149,CASE-1197,PERSON-0927,SUSPECT
ROB-CP-0150,CASE-1197,PERSON-0789,SUSPECT
ROB-CP-0151,CASE-0859,PERSON-0772,SUSPECT
ROB-CP-0152,CASE-0859,PERSON-0400,SUSPECT
ROB-CP-0153,CASE-0450,PERSON-0226,SUSPECT
ROB-CP-0154,CASE-0450,PERSON-0500,SUSPECT
ROB-CP-0155,CASE-0958,PERSON-0742,SUSPECT
ROB-CP-0156,CASE-0958,PERSON-0170,SUSPECT
ROB-CP-0157,CASE-0878,PERSON-0028,SUSPECT
ROB-CP-0158,CASE-0878,PERSON-0086,SUSPECT
ROB-CP-0159,CASE-0692,PERSON-0466,SUSPECT
ROB-CP-0160,CASE-0692,PERSON-0335,SUSPECT
ROB-CP-0161,CASE-0964,PERSON-0855,SUSPECT
ROB-CP-0162,CASE-0964,PERSON-0084,SUSPECT
ROB-CP-0163,CASE-0083,PERSON-0071,SUSPECT
ROB-CP-0164,CASE-0083,PERSON-0800,SUSPECT
ROB-CP-0165,CASE-0235,PERSON-0130,SUSPECT
ROB-CP-0166,CASE-0235,PERSON-0485,SUSPECT
ROB-CP-0167,CASE-0235,PERSON-0621,SUSPECT
ROB-CP-0168,CASE-0235,PERSON-0622,SUSPECT
ROB-CP-0169,CASE-0639,PERSON-0027,SUSPECT
ROB-CP-0170,CASE-0639,PERSON-0952,SUSPECT
ROB-CP-0171,CASE-0156,PERSON-0733,SUSPECT
ROB-CP-0172,CASE-0156,PERSON-0204,SUSPECT
ROB-CP-0173,CASE-1230,PERSON-0792,SUSPECT
ROB-CP-0174,CASE-1230,PERSON-0309,SUSPECT
ROB-CP-0175,CASE-0759,PERSON-0439,SUSPECT
ROB-CP-0176,CASE-0759,PERSON-0678,SUSPECT
ROB-CP-0177,CASE-0742,PERSON-0444,SUSPECT
ROB-CP-0178,CASE-0742,PERSON-0984,SUSPECT
ROB-CP-0179,CASE-0554,PERSON-0535,SUSPECT
ROB-CP-0180,CASE-0554,PERSON-0989,SUSPECT
ROB-CP-0181,CASE-1214,PERSON-0447,SUSPECT
ROB-CP-0182,CASE-1214,PERSON-0846,SUSPECT
ROB-CP-0183,CASE-0500,PERSON-0903,SUSPECT
ROB-CP-0184,CASE-0500,PERSON-0462,SUSPECT
ROB-CP-0185,CASE-0727,PERSON-0500,SUSPECT
ROB-CP-0186,CASE-0727,PERSON-0218,SUSPECT
ROB-CP-0187,CASE-0021,PERSON-0283,SUSPECT
ROB-CP-0188,CASE-0021,PERSON-0570,SUSPECT
ROB-CP-0189,CASE-0976,PERSON-0777,SUSPECT
ROB-CP-0190,CASE-0976,PERSON-0247,SUSPECT
ROB-CP-0191,CASE-0499,PERSON-0415,SUSPECT
ROB-CP-0192,CASE-0499,PERSON-0709,SUSPECT
ROB-CP-0193,CASE-0678,PERSON-0764,SUSPECT
ROB-CP-0194,CASE-0678,PERSON-0564,SUSPECT
ROB-CP-0195,CASE-0245,PERSON-0198,SUSPECT
ROB-CP-0196,CASE-0245,PERSON-0324,SUSPECT
ROB-CP-0197,CASE-1075,PERSON-0604,SUSPECT
ROB-CP-0198,CASE-1075,PERSON-0779,SUSPECT
ROB-CP-0199,CASE-0620,PERSON-0370,SUSPECT
ROB-CP-0200,CASE-0620,PERSON-0184,SUSPECT
ROB-CP-0201,CASE-0259,PERSON-0300,SUSPECT
ROB-CP-0202,CASE-0259,PERSON-0715,SUSPECT
ROB-CP-0203,CASE-0903,PERSON-0481,SUSPECT
ROB-CP-0204,CASE-0903,PERSON-0491,SUSPECT
ROB-CP-0205,CASE-1008,PERSON-0067,SUSPECT
ROB-CP-0206,CASE-1008,PERSON-0411,SUSPECT
ROB-CP-0207,CASE-0243,PERSON-0088,SUSPECT
