comm_id,case_id,description,duration
ROB-COMM-0001,CASE-0052,PERSON-0655 contacted PERSON-0115 regarding coordination.,249
ROB-COMM-0002,CASE-0052,PERSON-0115 contacted PERSON-0655 to confirm receipt.,102
ROB-COMM-0003,CASE-1210,PERSON-0559 contacted PERSON-0090 regarding coordination.,168
ROB-COMM-0004,CASE-1210,PERSON-0090 contacted PERSON-0559 to confirm receipt.,68
ROB-COMM-0005,CASE-1117,PERSON-0204 contacted PERSON-0734 regarding coordination.,167
ROB-COMM-0006,CASE-1117,PERSON-0734 contacted PERSON-0204 to confirm receipt.,195
ROB-COMM-0007,CASE-0866,PERSON-0164 contacted PERSON-0715 regarding coordination.,147
ROB-COMM-0008,CASE-0866,PERSON-0715 contacted PERSON-0164 to confirm receipt.,100
ROB-COMM-0009,CASE-0199,PERSON-0095 contacted PERSON-0390 regarding coordination.,151
ROB-COMM-0010,CASE-1099,PERSON-0748 contacted PERSON-0471 regarding coordination.,91
ROB-COMM-0011,CASE-0741,PERSON-0634 contacted PERSON-0907 regarding coordination.,207
ROB-COMM-0012,CASE-0741,PERSON-0907 contacted PERSON-0634 to confirm receipt.,62
ROB-COMM-0013,CASE-0477,PERSON-0082 contacted PERSON-0876 regarding coordination.,281
ROB-COMM-0014,CASE-0477,PERSON-0876 contacted PERSON-0082 to confirm receipt.,116
ROB-COMM-0015,CASE-0547,PERSON-0364 contacted PERSON-0215 regarding coordination.,239
ROB-COMM-0016,CASE-0502,PERSON-0176 contacted PERSON-0547 regarding coordination.,101
ROB-COMM-0017,CASE-0502,PERSON-0547 contacted PERSON-0176 to confirm receipt.,114
ROB-COMM-0018,CASE-0665,PERSON-0571 contacted PERSON-0225 regarding coordination.,275
ROB-COMM-0019,CASE-0136,PERSON-0411 contacted PERSON-0275 regarding coordination.,114
ROB-COMM-0020,CASE-1023,PERSON-0218 contacted PERSON-0672 regarding coordination.,161
ROB-COMM-0021,CASE-1150,PERSON-0143 contacted PERSON-0253 regarding coordination.,197
ROB-COMM-0022,CASE-1150,PERSON-0253 contacted PERSON-0143 to confirm receipt.,194
ROB-COMM-0023,CASE-1011,PERSON-0142 contacted PERSON-0522 regarding coordination.,83
ROB-COMM-0024,CASE-0865,PERSON-0164 contacted PERSON-0812 regarding coordination.,212
ROB-COMM-0025,CASE-0865,PERSON-0812 contacted PERSON-0164 to confirm receipt.,142
ROB-COMM-0026,CASE-1134,PERSON-0258 contacted PERSON-0995 regarding coordination.,280
ROB-COMM-0027,CASE-0547,PERSON-0907 contacted PERSON-0550 regarding coordination.,256
ROB-COMM-0028,CASE-0540,PERSON-0977 contacted PERSON-0740 regarding coordination.,188
ROB-COMM-0029,CASE-1040,PERSON-0641 contacted PERSON-0306 regarding coordination.,215
ROB-COMM-0030,CASE-1040,PERSON-0306 contacted PERSON-0641 to confirm receipt.,140
ROB-COMM-0031,CASE-1087,PERSON-0798 contacted PERSON-0945 regarding coordination.,295
ROB-COMM-0032,CASE-1087,PERSON-0945 contacted PERSON-0798 to confirm receipt.,127
ROB-COMM-0033,CASE-0630,PERSON-0852 contacted PERSON-0827 regarding coordination.,121
ROB-COMM-0034,CASE-0630,PERSON-0827 contacted PERSON-0852 to confirm receipt.,190
ROB-COMM-0035,CASE-0142,PERSON-0498 contacted PERSON-0836 regarding coordination.,254
ROB-COMM-0036,CASE-0142,PERSON-0836 contacted PERSON-0498 to confirm receipt.,77
ROB-COMM-0037,CASE-1243,PERSON-0272 contacted PERSON-0541 regarding coordination.,168
ROB-COMM-0038,CASE-0639,PERSON-0707 contacted PERSON-0206 regarding coordination.,162
ROB-COMM-0039,CASE-0248,PERSON-0530 contacted PERSON-0463 regarding coordination.,123
