pair_id,source_entity_id,target_entity_id,relationship_type,case_id,evidence_reference,expected_relationship,scenario
ROB-PAIR-0001,PERSON-0655,PERSON-0115,TRANSFERRED_TO,CASE-0052,PERSON-0655 contacted PERSON-0115 repeatedly under CASE-0052.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0002,PERSON-0559,PERSON-0090,CONTACTED,CASE-1210,PERSON-0559 contacted PERSON-0090 repeatedly under CASE-1210.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0003,PERSON-0204,PERSON-0734,TRANSFERRED_TO,CASE-1117,PERSON-0204 contacted PERSON-0734 repeatedly under CASE-1117.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0004,PERSON-0164,PERSON-0715,CONTACTED,CASE-0866,PERSON-0164 contacted PERSON-0715 repeatedly under CASE-0866.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0005,PERSON-0095,PERSON-0390,TRANSFERRED_TO,CASE-0199,PERSON-0095 contacted PERSON-0390 repeatedly under CASE-0199.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0006,PERSON-0748,PERSON-0471,TRANSFERRED_TO,CASE-1099,PERSON-0748 contacted PERSON-0471 repeatedly under CASE-1099.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0007,PERSON-0634,PERSON-0907,CONTACTED,CASE-0741,PERSON-0634 contacted PERSON-0907 repeatedly under CASE-0741.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0008,PERSON-0082,PERSON-0876,CONTACTED,CASE-0477,PERSON-0082 contacted PERSON-0876 repeatedly under CASE-0477.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0009,PERSON-0364,PERSON-0215,CONTACTED,CASE-0547,PERSON-0364 contacted PERSON-0215 repeatedly under CASE-0547.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0010,PERSON-0176,PERSON-0547,CONTACTED,CASE-0502,PERSON-0176 contacted PERSON-0547 repeatedly under CASE-0502.,1,OPERATIONAL_POSITIVE
