txn_id,case_id,amount,description
ROB-TXN-0001,CASE-0052,12174.66,PERSON-0655 transferred 12174.66 INR to PERSON-0115 for logistics.
ROB-TXN-0002,CASE-1210,40374.87,PERSON-0559 transferred 40374.87 INR to PERSON-0090 for logistics.
ROB-TXN-0003,CASE-1117,65851.02,PERSON-0204 transferred 65851.02 INR to PERSON-0734 for logistics.
ROB-TXN-0004,CASE-1099,43642.84,PERSON-0748 transferred 43642.84 INR to PERSON-0471 for logistics.
ROB-TXN-0005,CASE-0741,20952.88,PERSON-0634 transferred 20952.88 INR to PERSON-0907 for logistics.
ROB-TXN-0006,CASE-0477,63387.73,PERSON-0082 transferred 63387.73 INR to PERSON-0876 for logistics.
ROB-TXN-0007,CASE-0665,62526.18,PERSON-0571 transferred 62526.18 INR to PERSON-0225 for logistics.
ROB-TXN-0008,CASE-1150,45847.3,PERSON-0143 transferred 45847.3 INR to PERSON-0253 for logistics.
ROB-TXN-0009,CASE-0547,35433.57,PERSON-0907 transferred 35433.57 INR to PERSON-0550 for logistics.
ROB-TXN-0010,CASE-1087,12830.74,PERSON-0798 transferred 12830.74 INR to PERSON-0945 for logistics.
ROB-TXN-0011,CASE-0142,38269.77,PERSON-0498 transferred 38269.77 INR to PERSON-0836 for logistics.
ROB-TXN-0012,CASE-0248,43774.51,PERSON-0530 transferred 43774.51 INR to PERSON-0463 for logistics.
ROB-TXN-0013,CASE-0834,33777.16,PERSON-0485 transferred 33777.16 INR to PERSON-0827 for logistics.
ROB-TXN-0014,CASE-1099,22486.45,PERSON-0197 transferred 22486.45 INR to PERSON-0195 for logistics.
ROB-TXN-0015,CASE-0485,33072.82,PERSON-0949 transferred 33072.82 INR to PERSON-0772 for logistics.
ROB-TXN-0016,CASE-1139,25769.55,PERSON-0714 transferred 25769.55 INR to PERSON-0981 for logistics.
ROB-TXN-0017,CASE-1111,45892.43,PERSON-0594 transferred 45892.43 INR to PERSON-0754 for logistics.
ROB-TXN-0018,CASE-0323,18007.75,PERSON-0874 transferred 18007.75 INR to PERSON-0544 for logistics.
ROB-TXN-0019,CASE-0482,46616.34,PERSON-0692 transferred 46616.34 INR to PERSON-0883 for logistics.
ROB-TXN-0020,CASE-1196,55133.43,PERSON-0430 transferred 55133.43 INR to PERSON-0674 for logistics.
ROB-TXN-0021,CASE-0615,48481.15,PERSON-0406 transferred 48481.15 INR to PERSON-0135 for logistics.
