model,threshold,precision,recall,f1_score,false_positive_rate,false_negative_rate,true_positives,false_positives,true_negatives,false_negatives
LogReg_7_Baseline,0.5,0.5602,0.968,0.7097,0.76,0.032,242,190,60,8
LogReg_7_Baseline,0.6,0.5773,0.956,0.7199,0.7,0.044,239,175,75,11
LogReg_7_Baseline,0.7,0.6074,0.916,0.7305,0.592,0.084,229,148,102,21
LogReg_7_Baseline,0.8,0.6616,0.876,0.7539,0.448,0.124,219,112,138,31
LogReg_11_Scaled,0.5,0.5,1.0,0.6667,1.0,0.0,250,250,0,0
LogReg_11_Scaled,0.6,0.5,1.0,0.6667,1.0,0.0,250,250,0,0
LogReg_11_Scaled,0.7,0.5,1.0,0.6667,1.0,0.0,250,250,0,0
LogReg_11_Scaled,0.8,0.5,1.0,0.6667,1.0,0.0,250,250,0,0
RandomForest_11,0.5,0.6849,1.0,0.813,0.46,0.0,250,115,135,0
RandomForest_11,0.6,0.6849,1.0,0.813,0.46,0.0,250,115,135,0
RandomForest_11,0.7,0.6849,1.0,0.813,0.46,0.0,250,115,135,0
RandomForest_11,0.8,0.6849,1.0,0.813,0.46,0.0,250,115,135,0
HistGradientBoosting_11,0.5,0.6849,1.0,0.813,0.46,0.0,250,115,135,0
HistGradientBoosting_11,0.6,0.6849,1.0,0.813,0.46,0.0,250,115,135,0
HistGradientBoosting_11,0.7,0.6849,1.0,0.813,0.46,0.0,250,115,135,0
HistGradientBoosting_11,0.8,0.6849,1.0,0.813,0.46,0.0,250,115,135,0
Calibrated_RF_11,0.5,0.6849,1.0,0.813,0.46,0.0,250,115,135,0
Calibrated_RF_11,0.6,0.6849,1.0,0.813,0.46,0.0,250,115,135,0
Calibrated_RF_11,0.7,0.6849,1.0,0.813,0.46,0.0,250,115,135,0
Calibrated_RF_11,0.8,0.6849,1.0,0.813,0.46,0.0,250,115,135,0
