family_id,person_id,related_person_id,relationship_subtype
FAM-0001,PERSON-0974,PERSON-0055,SPOUSE
FAM-0002,PERSON-0055,PERSON-0974,SPOUSE
FAM-0003,PERSON-0176,PERSON-0217,FATHER
FAM-0004,PERSON-0217,PERSON-0176,DAUGHTER
FAM-0005,PERSON-0286,PERSON-0868,SPOUSE
FAM-0006,PERSON-0868,PERSON-0286,SPOUSE
FAM-0007,PERSON-0182,PERSON-0516,FATHER
FAM-0008,PERSON-0516,PERSON-0182,DAUGHTER
FAM-0009,PERSON-0942,PERSON-0574,SISTER
FAM-0010,PERSON-0574,PERSON-0942,BROTHER
FAM-0011,PERSON-0909,PERSON-0739,BROTHER
FAM-0012,PERSON-0739,PERSON-0909,BROTHER
FAM-0013,PERSON-0006,PERSON-0060,MOTHER
FAM-0014,PERSON-0060,PERSON-0006,SON
FAM-0015,PERSON-0498,PERSON-0533,FATHER
FAM-0016,PERSON-0533,PERSON-0498,DAUGHTER
FAM-0017,PERSON-0165,PERSON-0706,BROTHER
FAM-0018,PERSON-0706,PERSON-0165,BROTHER
FAM-0019,PERSON-0735,PERSON-0464,MOTHER
FAM-0020,PERSON-0464,PERSON-0735,DAUGHTER
FAM-0021,PERSON-0093,PERSON-0140,SISTER
FAM-0022,PERSON-0140,PERSON-0093,SISTER
FAM-0023,PERSON-0075,PERSON-0399,SISTER
FAM-0024,PERSON-0399,PERSON-0075,BROTHER
FAM-0025,PERSON-0007,PERSON-0494,MOTHER
FAM-0026,PERSON-0494,PERSON-0007,SON
FAM-0027,PERSON-0061,PERSON-0806,SISTER
FAM-0028,PERSON-0806,PERSON-0061,BROTHER
FAM-0029,PERSON-0966,PERSON-0576,FATHER
FAM-0030,PERSON-0576,PERSON-0966,SON
FAM-0031,PERSON-0094,PERSON-0119,SISTER
FAM-0032,PERSON-0119,PERSON-0094,BROTHER
FAM-0033,PERSON-0999,PERSON-0002,FATHER
FAM-0034,PERSON-0002,PERSON-0999,DAUGHTER
FAM-0035,PERSON-0865,PERSON-0475,MOTHER
FAM-0036,PERSON-0475,PERSON-0865,SON
FAM-0037,PERSON-0836,PERSON-0673,MOTHER
FAM-0038,PERSON-0673,PERSON-0836,SON
FAM-0039,PERSON-0323,PERSON-0191,SISTER
FAM-0040,PERSON-0191,PERSON-0323,SISTER
FAM-0041,PERSON-0083,PERSON-0766,FATHER
FAM-0042,PERSON-0766,PERSON-0083,SON
FAM-0043,PERSON-0762,PERSON-0372,MOTHER
FAM-0044,PERSON-0372,PERSON-0762,DAUGHTER
FAM-0045,PERSON-0970,PERSON-0837,SPOUSE
FAM-0046,PERSON-0837,PERSON-0970,SPOUSE
FAM-0047,PERSON-0055,PERSON-0841,FATHER
FAM-0048,PERSON-0841,PERSON-0055,DAUGHTER
FAM-0049,PERSON-0205,PERSON-0045,FATHER
FAM-0050,PERSON-0045,PERSON-0205,SON
FAM-0051,PERSON-0474,PERSON-0073,SISTER
FAM-0052,PERSON-0073,PERSON-0474,SISTER
FAM-0053,PERSON-0608,PERSON-0322,FATHER
FAM-0054,PERSON-0322,PERSON-0608,SON
FAM-0055,PERSON-0005,PERSON-0980,SPOUSE
FAM-0056,PERSON-0980,PERSON-0005,SPOUSE
FAM-0057,PERSON-0263,PERSON-0928,MOTHER
FAM-0058,PERSON-0928,PERSON-0263,SON
FAM-0059,PERSON-0899,PERSON-0517,BROTHER
FAM-0060,PERSON-0517,PERSON-0899,BROTHER
FAM-0061,PERSON-0576,PERSON-0729,SISTER
FAM-0062,PERSON-0729,PERSON-0576,BROTHER
FAM-0063,PERSON-0716,PERSON-0301,MOTHER
FAM-0064,PERSON-0301,PERSON-0716,DAUGHTER
FAM-0065,PERSON-0831,PERSON-0662,FATHER
FAM-0066,PERSON-0662,PERSON-0831,DAUGHTER
FAM-0067,PERSON-0817,PERSON-0582,SPOUSE
FAM-0068,PERSON-0582,PERSON-0817,SPOUSE
FAM-0069,PERSON-0424,PERSON-0608,MOTHER
FAM-0070,PERSON-0608,PERSON-0424,DAUGHTER
FAM-0071,PERSON-0886,PERSON-0879,SISTER
FAM-0072,PERSON-0879,PERSON-0886,SISTER
FAM-0073,PERSON-0353,PERSON-0135,BROTHER
FAM-0074,PERSON-0135,PERSON-0353,BROTHER
FAM-0075,PERSON-0286,PERSON-0980,SPOUSE
FAM-0076,PERSON-0980,PERSON-0286,SPOUSE
FAM-0077,PERSON-0785,PERSON-0119,SISTER
FAM-0078,PERSON-0119,PERSON-0785,SISTER
FAM-0079,PERSON-0857,PERSON-0751,MOTHER
FAM-0080,PERSON-0751,PERSON-0857,SON
FAM-0081,PERSON-0983,PERSON-0640,FATHER
FAM-0082,PERSON-0640,PERSON-0983,DAUGHTER
FAM-0083,PERSON-0486,PERSON-0208,BROTHER
FAM-0084,PERSON-0208,PERSON-0486,BROTHER
FAM-0085,PERSON-0831,PERSON-0552,MOTHER
FAM-0086,PERSON-0552,PERSON-0831,SON
FAM-0087,PERSON-0219,PERSON-0924,MOTHER
FAM-0088,PERSON-0924,PERSON-0219,SON
FAM-0089,PERSON-0037,PERSON-0265,SISTER
FAM-0090,PERSON-0265,PERSON-0037,BROTHER
FAM-0091,PERSON-0047,PERSON-0158,SISTER
FAM-0092,PERSON-0158,PERSON-0047,BROTHER
FAM-0093,PERSON-0794,PERSON-0575,SISTER
FAM-0094,PERSON-0575,PERSON-0794,SISTER
FAM-0095,PERSON-0228,PERSON-0702,FATHER
FAM-0096,PERSON-0702,PERSON-0228,DAUGHTER
FAM-0097,PERSON-0071,PERSON-0480,BROTHER
FAM-0098,PERSON-0480,PERSON-0071,BROTHER
FAM-0099,PERSON-0219,PERSON-0995,SISTER
FAM-0100,PERSON-0995,PERSON-0219,BROTHER
FAM-0101,PERSON-0449,PERSON-0263,MOTHER
FAM-0102,PERSON-0263,PERSON-0449,DAUGHTER
FAM-0103,PERSON-0346,PERSON-0893,FATHER
FAM-0104,PERSON-0893,PERSON-0346,DAUGHTER
FAM-0105,PERSON-0431,PERSON-0543,FATHER
FAM-0106,PERSON-0543,PERSON-0431,SON
FAM-0107,PERSON-0416,PERSON-0883,BROTHER
FAM-0108,PERSON-0883,PERSON-0416,BROTHER
FAM-0109,PERSON-0559,PERSON-0446,FATHER
FAM-0110,PERSON-0446,PERSON-0559,SON
FAM-0111,PERSON-0764,PERSON-0440,SPOUSE
FAM-0112,PERSON-0440,PERSON-0764,SPOUSE
FAM-0113,PERSON-0199,PERSON-0603,MOTHER
FAM-0114,PERSON-0603,PERSON-0199,DAUGHTER
FAM-0115,PERSON-0735,PERSON-0258,BROTHER
FAM-0116,PERSON-0258,PERSON-0735,BROTHER
FAM-0117,PERSON-0954,PERSON-0555,MOTHER
FAM-0118,PERSON-0555,PERSON-0954,DAUGHTER
FAM-0119,PERSON-0561,PERSON-0311,FATHER
FAM-0120,PERSON-0311,PERSON-0561,DAUGHTER
FAM-0121,PERSON-0326,PERSON-0820,MOTHER
FAM-0122,PERSON-0820,PERSON-0326,DAUGHTER
FAM-0123,PERSON-0392,PERSON-0944,BROTHER
FAM-0124,PERSON-0944,PERSON-0392,BROTHER
FAM-0125,PERSON-0416,PERSON-0937,FATHER
FAM-0126,PERSON-0937,PERSON-0416,DAUGHTER
FAM-0127,PERSON-0554,PERSON-0049,SISTER
FAM-0128,PERSON-0049,PERSON-0554,BROTHER
FAM-0129,PERSON-0343,PERSON-0055,SPOUSE
FAM-0130,PERSON-0055,PERSON-0343,SPOUSE
FAM-0131,PERSON-0836,PERSON-0455,BROTHER
FAM-0132,PERSON-0455,PERSON-0836,BROTHER
FAM-0133,PERSON-0722,PERSON-0052,SISTER
FAM-0134,PERSON-0052,PERSON-0722,SISTER
FAM-0135,PERSON-0369,PERSON-0460,SISTER
FAM-0136,PERSON-0460,PERSON-0369,BROTHER
FAM-0137,PERSON-0361,PERSON-0082,SISTER
FAM-0138,PERSON-0082,PERSON-0361,BROTHER
FAM-0139,PERSON-0984,PERSON-0407,FATHER
FAM-0140,PERSON-0407,PERSON-0984,DAUGHTER
FAM-0141,PERSON-0211,PERSON-0579,FATHER
FAM-0142,PERSON-0579,PERSON-0211,DAUGHTER
FAM-0143,PERSON-0747,PERSON-0845,FATHER
FAM-0144,PERSON-0845,PERSON-0747,SON
FAM-0145,PERSON-0609,PERSON-0035,SISTER
FAM-0146,PERSON-0035,PERSON-0609,BROTHER
FAM-0147,PERSON-0924,PERSON-0785,SISTER
FAM-0148,PERSON-0785,PERSON-0924,BROTHER
FAM-0149,PERSON-0110,PERSON-0044,SPOUSE
FAM-0150,PERSON-0044,PERSON-0110,SPOUSE
FAM-0151,PERSON-0645,PERSON-0717,BROTHER
FAM-0152,PERSON-0717,PERSON-0645,BROTHER
FAM-0153,PERSON-0749,PERSON-0029,MOTHER
FAM-0154,PERSON-0029,PERSON-0749,SON
FAM-0155,PERSON-0911,PERSON-0240,MOTHER
FAM-0156,PERSON-0240,PERSON-0911,SON
FAM-0157,PERSON-0974,PERSON-0086,MOTHER
FAM-0158,PERSON-0086,PERSON-0974,SON
FAM-0159,PERSON-0474,PERSON-0798,SISTER
FAM-0160,PERSON-0798,PERSON-0474,SISTER
FAM-0161,PERSON-0098,PERSON-0616,FATHER
FAM-0162,PERSON-0616,PERSON-0098,SON
FAM-0163,PERSON-0146,PERSON-0337,BROTHER
FAM-0164,PERSON-0337,PERSON-0146,BROTHER
FAM-0165,PERSON-0722,PERSON-0966,SPOUSE
FAM-0166,PERSON-0966,PERSON-0722,SPOUSE
FAM-0167,PERSON-0699,PERSON-0399,FATHER
FAM-0168,PERSON-0399,PERSON-0699,SON
FAM-0169,PERSON-0704,PERSON-0720,FATHER
FAM-0170,PERSON-0720,PERSON-0704,DAUGHTER
FAM-0171,PERSON-0173,PERSON-0650,FATHER
FAM-0172,PERSON-0650,PERSON-0173,SON
FAM-0173,PERSON-0416,PERSON-0735,SISTER
FAM-0174,PERSON-0735,PERSON-0416,BROTHER
FAM-0175,PERSON-0942,PERSON-0240,SISTER
FAM-0176,PERSON-0240,PERSON-0942,BROTHER
FAM-0177,PERSON-0838,PERSON-0942,BROTHER
FAM-0178,PERSON-0942,PERSON-0838,BROTHER
FAM-0179,PERSON-0716,PERSON-0964,MOTHER
FAM-0180,PERSON-0964,PERSON-0716,SON
FAM-0181,PERSON-0699,PERSON-0182,FATHER
FAM-0182,PERSON-0182,PERSON-0699,SON
FAM-0183,PERSON-0915,PERSON-0085,FATHER
FAM-0184,PERSON-0085,PERSON-0915,DAUGHTER
FAM-0185,PERSON-0187,PERSON-0449,SISTER
FAM-0186,PERSON-0449,PERSON-0187,BROTHER
FAM-0187,PERSON-0804,PERSON-0813,SISTER
FAM-0188,PERSON-0813,PERSON-0804,BROTHER
FAM-0189,PERSON-0893,PERSON-0986,FATHER
FAM-0190,PERSON-0986,PERSON-0893,SON
FAM-0191,PERSON-0011,PERSON-0162,SISTER
FAM-0192,PERSON-0162,PERSON-0011,SISTER
FAM-0193,PERSON-0778,PERSON-0832,FATHER
FAM-0194,PERSON-0832,PERSON-0778,SON
FAM-0195,PERSON-0081,PERSON-0328,MOTHER
FAM-0196,PERSON-0328,PERSON-0081,SON
FAM-0197,PERSON-0346,PERSON-0220,FATHER
FAM-0198,PERSON-0220,PERSON-0346,DAUGHTER
FAM-0199,PERSON-0929,PERSON-0900,SISTER
FAM-0200,PERSON-0900,PERSON-0929,BROTHER
FAM-0201,PERSON-0990,PERSON-0818,BROTHER
FAM-0202,PERSON-0818,PERSON-0990,BROTHER
FAM-0203,PERSON-0451,PERSON-0649,SISTER
FAM-0204,PERSON-0649,PERSON-0451,BROTHER
FAM-0205,PERSON-0033,PERSON-0449,BROTHER
FAM-0206,PERSON-0449,PERSON-0033,BROTHER
FAM-0207,PERSON-0045,PERSON-0979,SPOUSE
FAM-0208,PERSON-0979,PERSON-0045,SPOUSE
FAM-0209,PERSON-0103,PERSON-0784,SPOUSE
FAM-0210,PERSON-0784,PERSON-0103,SPOUSE
FAM-0211,PERSON-0722,PERSON-0196,FATHER
FAM-0212,PERSON-0196,PERSON-0722,DAUGHTER
FAM-0213,PERSON-0475,PERSON-0610,FATHER
FAM-0214,PERSON-0610,PERSON-0475,SON
FAM-0215,PERSON-0954,PERSON-0363,SISTER
FAM-0216,PERSON-0363,PERSON-0954,BROTHER
FAM-0217,PERSON-0660,PERSON-0029,MOTHER
FAM-0218,PERSON-0029,PERSON-0660,DAUGHTER
FAM-0219,PERSON-0683,PERSON-0770,MOTHER
FAM-0220,PERSON-0770,PERSON-0683,SON
FAM-0221,PERSON-0050,PERSON-0010,SISTER
FAM-0222,PERSON-0010,PERSON-0050,SISTER
FAM-0223,PERSON-0295,PERSON-0981,MOTHER
FAM-0224,PERSON-0981,PERSON-0295,DAUGHTER
FAM-0225,PERSON-0994,PERSON-0312,FATHER
FAM-0226,PERSON-0312,PERSON-0994,SON
FAM-0227,PERSON-0209,PERSON-0707,MOTHER
FAM-0228,PERSON-0707,PERSON-0209,SON
FAM-0229,PERSON-0004,PERSON-0285,SISTER
FAM-0230,PERSON-0285,PERSON-0004,BROTHER
FAM-0231,PERSON-0130,PERSON-0961,FATHER
FAM-0232,PERSON-0961,PERSON-0130,SON
FAM-0233,PERSON-0900,PERSON-0220,SISTER
FAM-0234,PERSON-0220,PERSON-0900,SISTER
FAM-0235,PERSON-0047,PERSON-0519,BROTHER
FAM-0236,PERSON-0519,PERSON-0047,BROTHER
FAM-0237,PERSON-0066,PERSON-0074,BROTHER
FAM-0238,PERSON-0074,PERSON-0066,BROTHER
FAM-0239,PERSON-0642,PERSON-0629,MOTHER
FAM-0240,PERSON-0629,PERSON-0642,SON
FAM-0241,PERSON-0979,PERSON-0227,SISTER
FAM-0242,PERSON-0227,PERSON-0979,BROTHER
FAM-0243,PERSON-0902,PERSON-0631,FATHER
FAM-0244,PERSON-0631,PERSON-0902,DAUGHTER
FAM-0245,PERSON-0983,PERSON-0559,SISTER
FAM-0246,PERSON-0559,PERSON-0983,BROTHER
FAM-0247,PERSON-0355,PERSON-0779,MOTHER
FAM-0248,PERSON-0779,PERSON-0355,DAUGHTER
FAM-0249,PERSON-0932,PERSON-0383,SISTER
FAM-0250,PERSON-0383,PERSON-0932,BROTHER
FAM-0251,PERSON-0151,PERSON-0047,SISTER
FAM-0252,PERSON-0047,PERSON-0151,BROTHER
FAM-0253,PERSON-0398,PERSON-0073,FATHER
FAM-0254,PERSON-0073,PERSON-0398,SON
FAM-0255,PERSON-0061,PERSON-0418,SPOUSE
FAM-0256,PERSON-0418,PERSON-0061,SPOUSE
FAM-0257,PERSON-0584,PERSON-0964,FATHER
FAM-0258,PERSON-0964,PERSON-0584,SON
FAM-0259,PERSON-0660,PERSON-0020,SISTER
FAM-0260,PERSON-0020,PERSON-0660,SISTER
FAM-0261,PERSON-0585,PERSON-0439,FATHER
FAM-0262,PERSON-0439,PERSON-0585,SON
FAM-0263,PERSON-0076,PERSON-0560,SISTER
FAM-0264,PERSON-0560,PERSON-0076,SISTER
FAM-0265,PERSON-0735,PERSON-0450,SPOUSE
