vehicle_id,registration_number,vehicle_type,model,color
VEHICLE-0001,WB-01-AB-0001,Hatchback,Standard Synthetic Model,Blue
VEHICLE-0002,WB-01-AB-0002,Van,Standard Synthetic Model,Grey
VEHICLE-0003,WB-01-AB-0003,Van,Standard Synthetic Model,White
VEHICLE-0004,WB-01-AB-0004,Sedan,Standard Synthetic Model,White
VEHICLE-0005,WB-01-AB-0005,Hatchback,Standard Synthetic Model,Red
VEHICLE-0006,WB-01-AB-0006,SUV,Standard Synthetic Model,Grey
VEHICLE-0007,WB-01-AB-0007,Van,Standard Synthetic Model,Grey
VEHICLE-0008,WB-01-AB-0008,Hatchback,Standard Synthetic Model,Blue
VEHICLE-0009,WB-01-AB-0009,Van,Standard Synthetic Model,Silver
VEHICLE-0010,WB-01-AB-0010,SUV,Standard Synthetic Model,Blue
VEHICLE-0011,WB-01-AB-0011,SUV,Standard Synthetic Model,Silver
VEHICLE-0012,WB-01-AB-0012,Motorcycle,Standard Synthetic Model,Blue
VEHICLE-0013,WB-01-AB-0013,Truck,Standard Synthetic Model,Black
VEHICLE-0014,WB-01-AB-0014,Van,Standard Synthetic Model,Black
VEHICLE-0015,WB-01-AB-0015,Van,Standard Synthetic Model,Blue
VEHICLE-0016,WB-01-AB-0016,Van,Standard Synthetic Model,Grey
VEHICLE-0017,WB-01-AB-0017,Truck,Standard Synthetic Model,Blue
VEHICLE-0018,WB-01-AB-0018,SUV,Standard Synthetic Model,Grey
VEHICLE-0019,WB-01-AB-0019,Sedan,Standard Synthetic Model,Black
VEHICLE-0020,WB-01-AB-0020,SUV,Standard Synthetic Model,Red
VEHICLE-0021,WB-01-AB-0021,Sedan,Standard Synthetic Model,Grey
VEHICLE-0022,WB-01-AB-0022,Van,Standard Synthetic Model,Black
VEHICLE-0023,WB-01-AB-0023,Truck,Standard Synthetic Model,Red
VEHICLE-0024,WB-01-AB-0024,Truck,Standard Synthetic Model,White
VEHICLE-0025,WB-01-AB-0025,Van,Standard Synthetic Model,Grey
VEHICLE-0026,WB-01-AB-0026,SUV,Standard Synthetic Model,Red
VEHICLE-0027,WB-01-AB-0027,Van,Standard Synthetic Model,Blue
VEHICLE-0028,WB-01-AB-0028,Hatchback,Standard Synthetic Model,Red
VEHICLE-0029,WB-01-AB-0029,Sedan,Standard Synthetic Model,Blue
VEHICLE-0030,WB-01-AB-0030,Motorcycle,Standard Synthetic Model,Silver
