ground_truth_id,source_entity_id,target_entity_id,relationship_type,case_id,expected_relationship,evidence_reference
GT-001,PERSON-001,CASE-001,INVOLVED_IN,CASE-001,1,case_persons.csv
GT-002,PERSON-002,CASE-001,INVOLVED_IN,CASE-001,1,case_persons.csv
GT-003,PERSON-004,CASE-001,INVOLVED_IN,CASE-001,1,case_persons.csv
GT-004,PERSON-001,CASE-002,INVOLVED_IN,CASE-002,1,case_persons.csv
GT-005,PERSON-002,CASE-002,INVOLVED_IN,CASE-002,1,case_persons.csv
GT-006,PERSON-003,CASE-003,INVOLVED_IN,CASE-003,1,case_persons.csv
GT-007,PERSON-004,CASE-003,INVOLVED_IN,CASE-003,1,case_persons.csv
GT-008,PERSON-006,CASE-004,INVOLVED_IN,CASE-004,1,case_persons.csv
GT-009,PERSON-007,CASE-004,INVOLVED_IN,CASE-004,1,case_persons.csv
GT-010,PERSON-008,CASE-004,INVOLVED_IN,CASE-004,1,case_persons.csv
GT-011,PERSON-006,CASE-005,INVOLVED_IN,CASE-005,1,case_persons.csv
GT-012,PERSON-009,CASE-005,INVOLVED_IN,CASE-005,1,case_persons.csv
GT-013,PERSON-007,CASE-006,INVOLVED_IN,CASE-006,1,case_persons.csv
GT-014,PERSON-008,CASE-006,INVOLVED_IN,CASE-006,1,case_persons.csv
GT-015,PERSON-009,CASE-006,INVOLVED_IN,CASE-006,1,case_persons.csv
GT-016,PERSON-011,CASE-007,INVOLVED_IN,CASE-007,1,case_persons.csv
GT-017,PERSON-012,CASE-007,INVOLVED_IN,CASE-007,1,case_persons.csv
GT-018,PERSON-013,CASE-007,INVOLVED_IN,CASE-007,1,case_persons.csv
GT-019,PERSON-011,CASE-008,INVOLVED_IN,CASE-008,1,case_persons.csv
GT-020,PERSON-013,CASE-008,INVOLVED_IN,CASE-008,1,case_persons.csv
GT-021,PERSON-012,CASE-009,INVOLVED_IN,CASE-009,1,case_persons.csv
GT-022,PERSON-015,CASE-009,INVOLVED_IN,CASE-009,1,case_persons.csv
GT-023,PERSON-011,CASE-010,INVOLVED_IN,CASE-010,1,case_persons.csv
GT-024,PERSON-012,CASE-010,INVOLVED_IN,CASE-010,1,case_persons.csv
GT-025,PERSON-016,CASE-011,INVOLVED_IN,CASE-011,1,case_persons.csv
GT-026,PERSON-016,CASE-012,INVOLVED_IN,CASE-012,1,case_persons.csv
GT-027,PERSON-018,CASE-012,INVOLVED_IN,CASE-012,1,case_persons.csv
GT-028,PERSON-016,CASE-013,INVOLVED_IN,CASE-013,1,case_persons.csv
GT-029,PERSON-016,CASE-014,INVOLVED_IN,CASE-014,1,case_persons.csv
GT-030,PERSON-018,CASE-014,INVOLVED_IN,CASE-014,1,case_persons.csv
GT-031,PERSON-016,CASE-015,INVOLVED_IN,CASE-015,1,case_persons.csv
GT-032,PERSON-016,CASE-016,INVOLVED_IN,CASE-016,1,case_persons.csv
GT-033,PERSON-018,CASE-016,INVOLVED_IN,CASE-016,1,case_persons.csv
GT-034,PERSON-016,CASE-017,INVOLVED_IN,CASE-017,1,case_persons.csv
GT-035,PERSON-019,CASE-018,INVOLVED_IN,CASE-018,1,case_persons.csv
GT-036,PERSON-021,CASE-018,INVOLVED_IN,CASE-018,1,case_persons.csv
GT-037,PERSON-019,CASE-019,INVOLVED_IN,CASE-019,1,case_persons.csv
GT-038,PERSON-020,CASE-019,INVOLVED_IN,CASE-019,1,case_persons.csv
GT-039,PERSON-020,CASE-020,INVOLVED_IN,CASE-020,1,case_persons.csv
GT-040,PERSON-021,CASE-020,INVOLVED_IN,CASE-020,1,case_persons.csv
GT-041,PERSON-023,CASE-021,INVOLVED_IN,CASE-021,1,case_persons.csv
GT-042,PERSON-024,CASE-021,INVOLVED_IN,CASE-021,1,case_persons.csv
GT-043,PERSON-025,CASE-021,INVOLVED_IN,CASE-021,1,case_persons.csv
GT-044,PERSON-023,CASE-022,INVOLVED_IN,CASE-022,1,case_persons.csv
GT-045,PERSON-026,CASE-022,INVOLVED_IN,CASE-022,1,case_persons.csv
GT-046,PERSON-025,CASE-023,INVOLVED_IN,CASE-023,1,case_persons.csv
GT-047,PERSON-027,CASE-023,INVOLVED_IN,CASE-023,1,case_persons.csv
GT-048,PERSON-028,CASE-024,INVOLVED_IN,CASE-024,1,case_persons.csv
GT-049,PERSON-029,CASE-024,INVOLVED_IN,CASE-024,1,case_persons.csv
GT-050,PERSON-029,CASE-025,INVOLVED_IN,CASE-025,1,case_persons.csv
GT-051,PERSON-031,CASE-026,INVOLVED_IN,CASE-026,1,case_persons.csv
GT-052,PERSON-001,CASE-026,INVOLVED_IN,CASE-026,1,case_persons.csv
GT-053,PERSON-031,CASE-027,INVOLVED_IN,CASE-027,1,case_persons.csv
GT-054,PERSON-011,CASE-027,INVOLVED_IN,CASE-027,1,case_persons.csv
GT-055,PERSON-140,CASE-028,INVOLVED_IN,CASE-028,1,case_persons.csv
GT-056,PERSON-116,CASE-029,INVOLVED_IN,CASE-029,1,case_persons.csv
GT-057,PERSON-130,CASE-030,INVOLVED_IN,CASE-030,1,case_persons.csv
GT-058,PERSON-098,CASE-030,INVOLVED_IN,CASE-030,1,case_persons.csv
GT-059,PERSON-188,CASE-030,INVOLVED_IN,CASE-030,1,case_persons.csv
GT-060,PERSON-169,CASE-031,INVOLVED_IN,CASE-031,1,case_persons.csv
GT-061,PERSON-169,CASE-033,INVOLVED_IN,CASE-033,1,case_persons.csv
GT-062,PERSON-018,CASE-033,INVOLVED_IN,CASE-033,1,case_persons.csv
GT-063,PERSON-012,CASE-033,INVOLVED_IN,CASE-033,1,case_persons.csv
GT-064,PERSON-147,CASE-034,INVOLVED_IN,CASE-034,1,case_persons.csv
GT-065,PERSON-156,CASE-035,INVOLVED_IN,CASE-035,1,case_persons.csv
GT-066,PERSON-143,CASE-040,INVOLVED_IN,CASE-040,1,case_persons.csv
GT-067,PERSON-087,CASE-042,INVOLVED_IN,CASE-042,1,case_persons.csv
GT-068,PERSON-169,CASE-042,INVOLVED_IN,CASE-042,1,case_persons.csv
GT-069,PERSON-041,CASE-042,INVOLVED_IN,CASE-042,1,case_persons.csv
GT-070,PERSON-097,CASE-044,INVOLVED_IN,CASE-044,1,case_persons.csv
GT-071,PERSON-002,CASE-046,INVOLVED_IN,CASE-046,1,case_persons.csv
GT-072,PERSON-077,CASE-046,INVOLVED_IN,CASE-046,1,case_persons.csv
GT-073,PERSON-040,CASE-048,INVOLVED_IN,CASE-048,1,case_persons.csv
GT-074,PERSON-036,CASE-048,INVOLVED_IN,CASE-048,1,case_persons.csv
GT-075,PERSON-010,CASE-051,INVOLVED_IN,CASE-051,1,case_persons.csv
GT-076,PERSON-188,CASE-051,INVOLVED_IN,CASE-051,1,case_persons.csv
GT-077,PERSON-107,CASE-052,INVOLVED_IN,CASE-052,1,case_persons.csv
GT-078,PERSON-031,CASE-052,INVOLVED_IN,CASE-052,1,case_persons.csv
GT-079,PERSON-011,CASE-053,INVOLVED_IN,CASE-053,1,case_persons.csv
GT-080,PERSON-082,CASE-053,INVOLVED_IN,CASE-053,1,case_persons.csv
GT-081,PERSON-001,PERSON-002,CONTACTED,CASE-001,1,COMM-001
GT-082,PERSON-002,PERSON-004,CONTACTED,CASE-001,1,COMM-002
GT-083,PERSON-003,PERSON-001,CONTACTED,CASE-001,1,COMM-003
GT-084,PERSON-006,PERSON-007,CONTACTED,CASE-004,1,COMM-004
GT-085,PERSON-008,PERSON-006,CONTACTED,CASE-004,1,COMM-005
GT-086,PERSON-009,PERSON-007,CONTACTED,CASE-004,1,COMM-006
GT-087,PERSON-011,PERSON-012,CONTACTED,CASE-007,1,COMM-007
GT-088,PERSON-013,PERSON-011,CONTACTED,CASE-007,1,COMM-008
GT-089,PERSON-015,PERSON-012,CONTACTED,CASE-007,1,COMM-009
GT-090,PERSON-016,PERSON-018,CONTACTED,CASE-011,1,COMM-010
GT-091,PERSON-018,PERSON-016,CONTACTED,CASE-011,1,COMM-011
GT-092,PERSON-019,PERSON-020,CONTACTED,CASE-018,1,COMM-012
GT-093,PERSON-021,PERSON-019,CONTACTED,CASE-018,1,COMM-013
GT-094,PERSON-023,PERSON-024,CONTACTED,CASE-021,1,COMM-014
GT-095,PERSON-025,PERSON-023,CONTACTED,CASE-021,1,COMM-015
GT-096,PERSON-026,PERSON-023,CONTACTED,CASE-021,1,COMM-016
GT-097,PERSON-028,PERSON-029,CONTACTED,CASE-024,1,COMM-017
GT-098,PERSON-031,PERSON-001,CONTACTED,CASE-026,1,COMM-018
GT-099,PERSON-031,PERSON-011,CONTACTED,CASE-026,1,COMM-019
GT-100,PERSON-124,PERSON-145,CONTACTED,CASE-112,1,COMM-020
GT-101,PERSON-178,PERSON-031,CONTACTED,CASE-096,1,COMM-021
GT-102,PERSON-067,PERSON-042,CONTACTED,CASE-149,1,COMM-022
GT-103,PERSON-119,PERSON-178,CONTACTED,CASE-035,1,COMM-023
GT-104,PERSON-070,PERSON-093,CONTACTED,CASE-108,1,COMM-024
GT-105,PERSON-136,PERSON-164,CONTACTED,CASE-240,1,COMM-025
GT-106,PERSON-197,PERSON-161,CONTACTED,CASE-047,1,COMM-026
GT-107,PERSON-140,PERSON-083,CONTACTED,CASE-224,1,COMM-027
GT-108,PERSON-176,PERSON-179,CONTACTED,CASE-177,1,COMM-028
GT-109,PERSON-037,PERSON-004,CONTACTED,CASE-036,1,COMM-029
GT-110,PERSON-200,PERSON-125,CONTACTED,CASE-106,1,COMM-030
GT-111,PERSON-002,PERSON-001,TRANSFERRED_TO,CASE-001,1,TXN-001
GT-112,PERSON-004,PERSON-002,TRANSFERRED_TO,CASE-001,1,TXN-002
GT-113,PERSON-006,PERSON-008,TRANSFERRED_TO,CASE-004,1,TXN-003
GT-114,PERSON-007,PERSON-009,TRANSFERRED_TO,CASE-004,1,TXN-004
GT-115,PERSON-012,PERSON-011,TRANSFERRED_TO,CASE-007,1,TXN-005
GT-116,PERSON-013,PERSON-011,TRANSFERRED_TO,CASE-007,1,TXN-006
GT-117,PERSON-018,PERSON-016,TRANSFERRED_TO,CASE-011,1,TXN-007
GT-118,PERSON-019,PERSON-021,TRANSFERRED_TO,CASE-018,1,TXN-008
GT-119,PERSON-024,PERSON-023,TRANSFERRED_TO,CASE-021,1,TXN-009
GT-120,PERSON-023,PERSON-025,TRANSFERRED_TO,CASE-021,1,TXN-010
GT-121,PERSON-026,PERSON-023,TRANSFERRED_TO,CASE-021,1,TXN-011
GT-122,PERSON-031,PERSON-001,TRANSFERRED_TO,CASE-026,1,TXN-012
GT-123,PERSON-181,PERSON-133,TRANSFERRED_TO,CASE-148,1,TXN-013
GT-124,PERSON-170,PERSON-191,TRANSFERRED_TO,CASE-069,1,TXN-014
GT-125,PERSON-158,PERSON-197,TRANSFERRED_TO,CASE-240,1,TXN-015
GT-126,PERSON-161,PERSON-016,TRANSFERRED_TO,CASE-094,1,TXN-016
GT-127,PERSON-062,PERSON-039,TRANSFERRED_TO,CASE-196,1,TXN-017
GT-128,PERSON-106,PERSON-082,TRANSFERRED_TO,CASE-234,1,TXN-018
GT-129,PERSON-053,PERSON-106,TRANSFERRED_TO,CASE-074,1,TXN-019
GT-130,PERSON-066,PERSON-176,TRANSFERRED_TO,CASE-104,1,TXN-020
GT-131,PERSON-130,PERSON-159,CONTACTED,,0,N/A
GT-132,PERSON-098,PERSON-078,CONTACTED,,0,N/A
GT-133,PERSON-102,PERSON-172,CONTACTED,,0,N/A
GT-134,PERSON-095,PERSON-034,CONTACTED,,0,N/A
GT-135,PERSON-144,PERSON-011,CONTACTED,,0,N/A
GT-136,PERSON-149,PERSON-046,CONTACTED,,0,N/A
GT-137,PERSON-067,PERSON-044,CONTACTED,,0,N/A
GT-138,PERSON-129,PERSON-127,CONTACTED,,0,N/A
GT-139,PERSON-087,PERSON-120,CONTACTED,,0,N/A
GT-140,PERSON-034,PERSON-023,CONTACTED,,0,N/A
GT-141,PERSON-082,PERSON-182,CONTACTED,,0,N/A
GT-142,PERSON-136,PERSON-111,CONTACTED,,0,N/A
GT-143,PERSON-037,PERSON-067,CONTACTED,,0,N/A
GT-144,PERSON-030,PERSON-081,CONTACTED,,0,N/A
GT-145,PERSON-012,PERSON-033,CONTACTED,,0,N/A
