vehicle_id,registration_number,vehicle_type,model,color
VEHICLE-001,MH63GB1317,VAN,Alto,Silver
VEHICLE-002,DL93BY1659,CAR,Scorpio,Black
VEHICLE-003,WB89DD2874,VAN,Scorpio,Red
VEHICLE-004,MP42UE2876,MOTORCYCLE,Innova,White
VEHICLE-005,RJ13YP7149,TRUCK,Tata Sumo,Black
VEHICLE-006,WB85SR2669,AUTO-RICKSHAW,Omni,Blue
VEHICLE-007,MH82UJ8018,AUTO-RICKSHAW,Swift,Blue
VEHICLE-008,UP53AL9031,CAR,Pulsar,Silver
VEHICLE-009,UP68SL9548,AUTO-RICKSHAW,Eeco,Blue
VEHICLE-010,MH71MV5397,AUTO-RICKSHAW,Scorpio,White
VEHICLE-010-V1,MH-71-MV-5397,AUTO-RICKSHAW,Scorpio,Black
VEHICLE-011,TS41UP7209,AUTO-RICKSHAW,Alto,Red
VEHICLE-012,DL33MJ5232,AUTO-RICKSHAW,Innova,Blue
VEHICLE-013,MP45PN4130,CAR,Scorpio,Grey
VEHICLE-014,TN72PF8800,TRUCK,Activa,White
VEHICLE-015,WB47FS6016,VAN,Splendor,Red
VEHICLE-016,GJ77JZ6419,AUTO-RICKSHAW,Tata Sumo,Red
VEHICLE-017,DL49GC4155,AUTO-RICKSHAW,Swift,Grey
VEHICLE-018,GJ98EF8933,AUTO-RICKSHAW,Tata Sumo,Blue
VEHICLE-019,MH77QZ4180,AUTO-RICKSHAW,Scorpio,Silver
VEHICLE-020,MH48AN5494,CAR,Alto,Blue
VEHICLE-020-V1,MH-48-AN-5494,CAR,Alto,Black
VEHICLE-021,MP26RU2680,CAR,Eeco,Silver
VEHICLE-022,TS71LE1841,AUTO-RICKSHAW,Activa,White
VEHICLE-023,WB61MP1878,MOTORCYCLE,Bolero,Blue
VEHICLE-024,DL20ZC7818,VAN,Eeco,Blue
VEHICLE-025,DL76KX5871,VAN,Pulsar,Silver
VEHICLE-026,RJ89BZ2625,MOTORCYCLE,Omni,Black
VEHICLE-027,DL94BF2229,MOTORCYCLE,Alto,Red
VEHICLE-028,TS98QG4792,AUTO-RICKSHAW,Tata Sumo,Silver
VEHICLE-029,MP68BF5334,VAN,Omni,Black
VEHICLE-030,TN24PR5352,MOTORCYCLE,Swift,White
VEHICLE-030-V1,TN-24-PR-5352,MOTORCYCLE,Swift,White
VEHICLE-031,DL86TP5728,TRUCK,Swift,Red
VEHICLE-032,MP48SY9199,VAN,Activa,Red
VEHICLE-033,WB86AL6280,VAN,Innova,White
VEHICLE-034,WB39ZW1339,AUTO-RICKSHAW,Eeco,White
VEHICLE-035,MH32MR5557,MOTORCYCLE,Eeco,Red
VEHICLE-036,UP72ZM7690,AUTO-RICKSHAW,Splendor,Grey
VEHICLE-037,MH30HS5722,TRUCK,Maruti 800,Blue
VEHICLE-038,WB68CG2899,TRUCK,Avenger,White
VEHICLE-039,UP79MB9494,AUTO-RICKSHAW,Eeco,Red
VEHICLE-040,UP66UE9998,MOTORCYCLE,Innova,Red
VEHICLE-040-V1,UP-66-UE-9998,MOTORCYCLE,Innova,Silver
VEHICLE-041,TS25AR4920,MOTORCYCLE,Innova,Blue
VEHICLE-042,WB80KF2858,TRUCK,Swift,Grey
VEHICLE-043,MH73YH5479,TRUCK,Activa,Red
VEHICLE-044,DL68PK9327,MOTORCYCLE,Swift,Silver
VEHICLE-045,MH63JU5377,CAR,Innova,Grey
VEHICLE-046,DL85PR3434,TRUCK,Avenger,Red
VEHICLE-047,KA52PP8460,AUTO-RICKSHAW,Scorpio,Grey
VEHICLE-048,DL83KW7730,CAR,Splendor,Grey
VEHICLE-049,TS58KR3492,TRUCK,Alto,Black
VEHICLE-050,GJ85HC8213,CAR,Avenger,Red
VEHICLE-050-V1,GJ-85-HC-8213,CAR,Avenger,White
